Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
22, 2048, 1, 2, 512, 0.176454, 0.411443, N/A, 0.0258656, 0.0263653, 2.49876, 0.0199999, 2, 1, 1, 1, 2, 1, 6.79846, 2, 2, 0.5, 1, 1, 1, 35.5861, 
22, 4096, 1, 2, 512, 0.188028, 0.419472, N/A, 0.0261077, 0.0277019, 3.15027, 0.0213263, 2, 1, 1, 1, 2, 1, 12.7132, 2, 2, 0.5, 1, 1, 1, 49.4416, 
22, 2048, 1, 2, 512, 0.176454, 0.411443, N/A, 0.0258656, 0.0263653, 2.49876, 0.0199999, 2, 1, 1, 1, 2, 1, 6.79846, 2, 2, 0.5, 1, 1, 1, 35.5861, 
22, 2048, 1, 2, 512, 0.176454, 0.411443, N/A, 0.0258656, 0.0263653, 2.49876, 0.0199999, 2, 1, 1, 1, 2, 1, 6.79846, 2, 2, 0.5, 1, 1, 1, 35.5861, 
22, 2048, 1, 2, 512, 0.176454, 0.411443, N/A, 0.0258656, 0.0263653, 2.49876, 0.0199999, 2, 1, 1, 1, 2, 1, 6.79846, 2, 2, 0.5, 1, 1, 1, 35.5861, 
22, 4096, 1, 2, 512, 0.188028, 0.419472, N/A, 0.0261077, 0.0277019, 3.15027, 0.0213263, 2, 1, 1, 1, 2, 1, 12.7132, 2, 2, 0.5, 1, 1, 1, 49.4416, 
22, 2048, 1, 2, 512, 0.176454, 0.411443, N/A, 0.0258656, 0.0263653, 2.49876, 0.0199999, 2, 1, 1, 1, 2, 1, 6.79846, 2, 2, 0.5, 1, 1, 1, 35.5861, 
22, 2048, 1, 2, 512, 0.176454, 0.411443, N/A, 0.0258656, 0.0263653, 2.49876, 0.0199999, 2, 1, 1, 1, 2, 1, 6.79846, 2, 2, 0.5, 1, 1, 1, 35.5861, 
22, 2048, 1, 2, 512, 0.176454, 0.411443, N/A, 0.0258656, 0.0263653, 2.49876, 0.0199999, 2, 1, 1, 1, 2, 1, 6.79846, 2, 2, 0.5, 1, 1, 1, 35.5861, 
22, 4096, 1, 2, 512, 0.188028, 0.419472, N/A, 0.0261077, 0.0277019, 3.15027, 0.0213263, 2, 1, 1, 1, 2, 1, 12.7132, 2, 2, 0.5, 1, 1, 1, 49.4416, 
22, 2048, 1, 2, 512, 0.176454, 0.411443, N/A, 0.0258656, 0.0263653, 2.49876, 0.0199999, 2, 1, 1, 1, 2, 1, 6.79846, 2, 2, 0.5, 1, 1, 1, 35.5861, 
22, 2048, 1, 2, 512, 0.176454, 0.411443, N/A, 0.0258656, 0.0263653, 2.49876, 0.0199999, 2, 1, 1, 1, 2, 1, 6.79846, 2, 2, 0.5, 1, 1, 1, 35.5861, 
